Ukrainian,English
ночи,night
панове,gentlemen
милая,Sweetheart
наступного,next
оба,both
слава,glory
грати,play
утром,The result
зроби,do
пять,five
годин,hours
разів,times
нашел,Nar
часть,Part
взяли,took
майкл,Michael
навколо,around
гйб,Gib
живий,live
покажи,Show
тисяч,Thousands
какого,What
повідомлення,message
идея,Idey
пізно,late
ніяких,No
нового,new
перепрошую,Sorry
видели,Vedid
зброю,weapons
зробимо,Let's do
знають,know
умер,died
місіс,Mrs.
доме,Home
крови,blood
нашої,ours
столько,Stolko
ок,OK
боб,Bob
придется,will be acquired
семья,Semia
стой,Stoy
стоп,stop
женщина,The woman
пробачте,Excuse me
світло,light
рішення,decision
сделаю,I do
зрозуміти,understand
людьми,by people
вранці,in the morning
дочь,daughter
понять,concepts
пройти,pass
їхати,go
допоможіть,Help
допомога,help
збираюся,I am going
ї,her
мужик,peasant
утро,the morning
хвилинку,a minute
чекає,Waiting
помню,I remember
остаться,remain
поруч,near
кого-то,Someone
вернулся,Returned
чтоб,What
забрати,take
также,Also
поняла,She came
роблять,do
приятель,friend
коли-небудь,sometime
неможливо,impossible
моїй,mine
любий,dear
типа,type
народження,birth
майбутнє,future
усім,to all
работе,work
єдиний,only
чекати,wait
твоєї,yours
довольно,Quite
комп,comp
миссис,Myssyis
таку,Such
історія,history
матері,Mother
шоу,show
поверить,Read
часов,time
вечером,in the evening
странно,Stranno
покажу,I will show
две,Two
кажи,Say
кофе,Coffe
добраніч,Good night
друзья,Friend
любовь,Love
відразу,at once
мусиш,You must
говорят,Talk
перш,first
якому,Who
роби,do
могло,could
двоє,Two
говориш,You say
пити,drink
іншим,to others
подумала,I thought
скорее,Score
місті,city
команда,team
звуть,name
любов,love
вирішив,I decided
правила,rules
муж,man
повернути,return
твое,your
набагато,lot
ані,nor
дорогая,Road
існує,exist
місяць,moon
своим,to your own
настільки,so
години,hours
якась,Something
дать,give
больно,Pain
приятно,Friendly
пришел,School
хорошая,Good
фпх,FPH
пришла,Come
дали,gave
детектив,detective
нашим,ours
ключ,key
матір,Mother
никого,no
хлопчик,boy
которой,Cotomy
своєму,to your own
уе,WE
фільм,movie
даруйте,Great
безопасности,Seasonlessness
сих,Sich
правий,right
допоможе,will help
стали,steel
значення,value
повірити,believe
тіло,body
залишити,keep
менше,Less
кажеш,You say
жив,lived
кохання,love
пішла,has gone
сто,hundred
виходить,It turns out
випадок,case
парни,paired
которого,which
поїхали,They went
чула,She heard
лицо,Lyzo
стане,will become
богу,God
війни,wars
собираешься,You will be
твоїх,yours
подумал,thought
що-небудь,anything
врятувати,save
докторе,Doctor
сша,USA
наприклад,example
чарли,Charles
міс,miss
рш,p
неправильно,wrong
доларів,dollars
делал,Delall
почекай,Wait
пришлось,It came
фпн,FPN
дивіться,See
капітан,captain
стал,steel
ьфй,Lyfy
шість,six
зможемо,We can
заткнись,Shut up
здравствуйте,Hello
вперше,for the first time
відповідь,reply
полагаю,I spare
лікар,doctor
дала,gave
хлопче,Boy
годину,an hour
сделали,They made
почав,started
дев,nd
чжун,Zhong
вулиці,streets
дорогу,The road
хуже,Hugs
наскільки,as far as
алекс,Alex
підеш,You will go
макс,Max
своєї,his own
частина,part
звучить,Sounds
упх,UPH
смішно,ridiculously
любит,love
секс,sex
пути,Pat
видно,Apparently
кінця,end
жодного,none
вважаю,I think
думати,think
сили,strength
год,hours
прежде,The prejudice
живу,Live
чином,way
моё,my
клянусь,I swear
прийшла,came
показати,to show
звучит,sound
будьте,Be
кохаю,I love
нашла,Switches
вийти,go out
йдіть,Go
скажешь,You say
побачив,saw
земля,Earth
получил,Hallowed
ньому,it
сідай,Sit down
друзів,friends
зупинити,stop
провести,to hold
купити,buy
типу,type
чудовий,excellent
вернуть,Return
поздно,afternoon
серед,among
всередині,within
вернусь,I will return
какие,Kuckie
корабель,ship
спосіб,way
вашего,Your
думаете,You think
получить,will receive
пришли,They came
послухайте,Listen
історії,stories
працюю,I work
посмотреть,Smolt
минулого,past
вночі,at night
молодець,Well done
зможе,can
пір,pores
агент,agent
людини,man
розповісти,to tell
книгу,Book
как-то,somehow
большой,Bolsha
принаймні,at least
дозвольте,Allow
внимание,Invnation
семьи,Seven
слухайте,Listen
обратно,back
неймовірно,incredible
жодних,no
раптом,suddenly
честно,honestly
людину,man
заспокойся,Calm down
новини,news
постійно,constantly
язок,Land
хей,Hey
рпх,RPH
пара,couple
купив,bought
намагався,tried
список,list
допоможи,Help
угодно,pleased
ненавиджу,I hate
суд,court
понятно,Cathole
позже,Ski
випадку,case
следует,Sleep
секунд,seconds
ребенка,Rebenko
нові,New
щастя,happiness
брь,Brove
тело,TEO
йдеш,You go
недавно,recently
переклад,translation
впевнена,I am sure
війна,war
смог,smog
отношения,Report
когда-нибудь,Kogda-none
цілком,quite
бери,Take it
подумай,Think
думали,thought
имеет,Imeet
дерьмо,shit
вести,lead
доброе,Good
ума,The mind
кімнаті,room
зачекайте,Wait
джордж,George
подивися,Look
следующий,The following
спробувати,try
думать,Think
непогано,not bad
вашим,yours
места,Menta
ждать,Wait
свое,your own
иначе,It is
неужели,Non -found
сможет,Smoker
сигнал,signal
е,is
написано,Written
интересно,Interest
сила,power
боку,sides
сторону,side
где-то,somewhere
пов,The floor
спершу,at first
другого,the second
хвилюйся,worry
насколько,Sleep
станет,Stanet
думку,opinion
н,N
город,backyard
сара,Sarah
залиш,leave
повністю,fully
школи,school
великі,Large
другий,second
гадаєш,You think
окей,Okay
залишив,left
батьки,parents
волосся,hair
нашего,ours
хотели,Hotels
затем,The jar
язниці,Virgin
піде,will go
начала,The beginning
лікарні,Hospitals
сезон,season
крові,blood
майк,Mike
посмотрим,Impress
скажете,Say
особливо,especially
твоим,yours
идем,We will
казати,say
місяців,months
какой-то,What is something
супер,super
повернуся,I will come back
поліції,police
взяла,She took
останні,the last
джеймс,James
дивитися,watch
зробиш,Do you
стану,state
мире,The world
чую,I hear
замість,instead
пол,Paul
член,member
способ,way
брати,take
мадам,madam
звідти,from there
твоїм,Thy
адвокат,lawyer
жахливо,terribly
цілий,whole
прошлой,Pull
внизу,below
обіцяю,I promise
гірше,worse
имеешь,You have
других,others
чисто,purely
оружие,Ore
померти,die
початку,the beginning
силу,power
побачиш,You will see
никому,no
чути,hear
держи,Burden
пап,Pap
спать,Sleep
вибір,choice
ем,EM
мужчина,man
хлопців,guys
делаю,I delay
змінити,change
зайти,enter
верю,Vita
твоєму,yours
моєю,mine
своїй,to your own
добро,good
другие,Second
брате,brother
ребенок,The baby
справжній,real
синку,Son
доктора,Doctor
безпеці,security
президент,president
нікуди,nowhere
лойза,Loes
хороша,good
обещаю,I will give
рождения,Born
внутри,Intra
померла,She died
ходи,The moves
начать,Start
дал,Dal
подарунок,gift
буває,happens
телефону,the phone
тримати,keep
взял,took
ужасно,Turnover
сделаем,We shed
принести,bring
делай,Deli
решил,Reshil
почали,started
подивитися,look
візьму,I'll take it
вид,view
оставить,will leave
жінок,women
вечора,p.m.
спасти,to save
дівчата,Girls
тримайся,Hold on
мере,a number of
стає,becomes
побачимося,See you
почуття,sense
збираєшся,You gather
сможем,Smoke
чули,Heard
конец,Conec
спробуй,Try
джейк,Jake
перша,first
кстати,to
своєю,by his own
вашої,yours
готово,Finished
сюрприз,surprise
поможет,will help
ввечері,Tonight
чудова,wonderful
страх,fear
мами,moms
всьому,everything
емі,Amy
втратив,lost
любишь,You love
нем,No
завгодно,You want
винен,guilty
удар,shock
капітане,Captain
їдемо,Let's go
зміг,could
якраз,just
звук,sound
наступний,following
трьох,three
ам,am
чогось,something
мальчик,The fry
зустріч,meeting
дізнатися,learn
поле,field
пистолет,Pistol
хотят,Like
чан,vat
шляху,the way
штука,thing
даю,I give
шо,sho
магазин,shop
серьёзно,Serious
машині,by car
рахунок,score
смотреть,Watch
дуґале,Dougale
забрали,They took away
прекрати,to get off
шукати,search
квартиру,apartment
завдання,task
рука,hand
чай,tea
дівчинка,girl
зрештою,finally
нова,New
убийство,murder
голові,head
думай,Think
рук,hands
боляче,painful
почати,begin
леди,Lady
твоих,yours
відмінно,perfectly
новости,News
другу,Second
трудно,It is difficult
детка,Deta
школі,school
леді,lady
робимо,We do
такою,Such
вбили,Killed
намагаюся,I try
вечер,Evening
зрозуміла,Clear
біжи,Run
гра,game
случай,Slive
полиция,Polycia
часа,Time
дозволь,permit
авто,auto
історію,history
комнате,Comnate
компанії,companies
ходить,Walking
вийшло,It turned out
сука,bitch
відомо,known
спросить,Imprets
убили,Killed
разі,case
подруга,girlfriend
какое,Kakoe
просимо,Please
твоё,your
вистачить,Enough
осталось,It remained
сил,strength
дивися,Look
знак,sign
любиш,You love
бен,Ben
авжеж,of course
поїхати,go
роль,role
станеться,will happen
убийца,The mud
декілька,few
пґя,PGYA
делаете,Do you
протягом,for
обох,both
школе,school
своїми,by your own
ужин,Divine
ній,it
пістолет,pistol
залишитися,stay
вдалося,succeeded
вдруг,a second
знайду,I will find
принесу,I will bring
мила,Sweetheart
книги,books
знайшла,found
которое,Cotoroe
ніщо,nothing
проте,but
зустрічі,meetings
часи,times
ближче,Closer
залишилося,left
двое,Two
нове,new
язково,Language
виглядаєш,You look
матери,Mother
запах,scent
погоди,the weather
маленька,Little
зробить,will do
отримали,got
тисячі,Thousands
працював,worked
днем,by day
кажучи,saying
чоловіки,Men
рот,mouth
королева,queen
допомогу,help
якою,What
придётся,They get
дорога,road
приїхав,arrived
мить,moment
холодно,coldly
узнал,Establishment
прощения,Farewell
мм,mm
знайдемо,Let's find
речей,things
ніяк,any
думки,thoughts
такому,It is
відчуття,feeling
остановить,will stand out
дорозі,Road
повернеться,will come back
велике,Great
обидва,both
повітря,air
повір,Believe
тієї,that
вихід,Entrance
великого,Great
поговоримо,Let's talk
добра,Good
пощастило,Lucky
путь,way
ласкаво,affectionately
помогите,Help
прошло,It took place
уфп,UFP
крізь,through
весілля,wedding
книга,book
пошел,sewed
двух,Two
чуть,A little bit
обязательно,Obtained
забери,Take away
найкращий,best
запитати,to ask
пошла,Sent
мільйонів,millions
такими,Such
купить,Buy
волнуйся,Walk
війну,war
кейт,Kate
хвилину,a minute
нему,There is no
одразу,immediately
малий,small
називається,is called
иду,go
понимаете,You do
глянь,Look
друзей,Friend
лорд,lord
либо,Liba
легше,lighter
знают,I know
клас,class
цією,This
второй,Crown
подождите,Override
жінку,a woman
приніс,brought
можливість,possibility
дівчину,Girl
хто-небудь,who ever
вокруг,Varugue
постоянно,constantly
подивись,Look
дорогой,Dear
вбивство,murder
людиною,by man
полиции,Polycia
говоря,Speech
завдяки,thanks to
подивіться,Look
заходь,Come on
понятия,To understand
порядок,order
встретиться,will stretch
сделай,Sadlai
ходити,walk
твоїй,yours
битися,fight
фбр,FBI
оскільки,because
ди,di
забрать,Take away
випити,to drink
жива,alive
минуту,the past
байдуже,indifferently
родители,Birth
машине,Machine
джессі,Jesse
пиво,beer
дядько,uncle
дякуємо,Thank you
якусь,some
насчёт,Spring
крок,step
якої,which
гру,The game
повинно,should
тижні,weeks
костюм,suit
неделю,Nesel
дружину,wife
увага,WARNING
взагалі-то,generally
чоловіком,by a man
сонце,sun
пояснити,to explain
віддай,Give
вино,wine
история,History
наказ,order
подальше,further
пёп,Pep
сообщение,Consumption
місяці,months
тижня,a week
своё,Own
слушайте,Listen
пітер,Peter
довелося,I had to
нашому,ours
оставил,Abstained
дон,Don
спокій,rest
закон,law
уходи,Entries
сину,Son
старший,senior
фпхт,FPHT
собирался,Stone
факт,fact
богом,God
увесь,all
позвонить,will be called
повезло,lucky
пё,p
дядя,Uncle
поговорим,Power
крайней,Extreme
двадцять,twenty
тяжело,Heavily
отець,Father
зазвичай,Usually
сидіти,sit
голови,heads
неплохо,not bad
забирайся,Get out
замуж,married
мусимо,We must
схожий,similar
решение,Affiliate
гм,Ahem
запам,Smell
показать,Show
музика,music
пришёл,Sleep
ногу,leg
угу,UGU
господа,Lord
тедді,Teddy
ненавижу,Hate
справі,the case
прийом,reception
віддати,give
убийства,murder
якій,to whom
зажди,always
любила,loved
месяцев,Mesjatzev
єдина,The only one
йдуть,They go
почути,hear
наркотики,drugs
хотим,Khoty
іншому,to another
пана,Mr.
записи,Records
пива,Beer
роботі,work
дідько,devil
человеком,man
играть,Play
около,Over
томас,Thomas
серия,Seria
чимось,something
назавжди,forever
моем,MOEM
велику,Great
думає,thinks
вашому,yours
поводу,Stork
ключі,Keys
большое,Bolsha
хвилини,minutes
позволь,I let
идет,Ed
последнее,Last
ідіть,Go
повний,full
ніякого,No
нбй,NBY
любви,Love
бажання,desire
проверить,will pierce
їхні,their
свидание,Svidanie
автобус,bus
вернулась,She returned
использовать,Toss
знищити,to destroy
хочеться,I want
стоїть,It stands
таком,such
дерева,trees
зброя,weapon
минутку,the traffic
слів,words
мужа,husband
чаю,tea
піп,Pip
трапилось,It happened
бою,battle
меньше,less
центр,center
иметь,Im
належить,belongs
жарт,joke
літак,plane
лучший,Trusted
поехали,They caught
жили,They lived
ён,оn
оставь,It is
сексом,sex
сподіваюсь,I hope
думает,Tumles
слухаю,I listen
компании,Company
умереть,Rest
згоден,agree
отцом,Father
сідайте,Sit down
приходить,comes
вигляд,appearance
семью,Samu
туалет,toilet
робили,made
искать,Pick up
неправда,falsehood
благаю,I beg
стоять,stand
господь,The Lord
поза,outside
держать,hold
головний,main
руками,hands
заходьте,Come in
ханна,Hannah
особисто,personally
подумати,think
комусь,to someone
душу,soul
найду,Naya
едді,Eddie
язку,Land
последние,Last
идёт,It will
казали,They said
море,sea
окрім,except
причини,reasons
еду,Ed
кімнату,room
успокойся,Calculate
никакого,Nikky
стояти,stand
найкраще,best
сподобається,Like it
всему,Everything
фзт,FZT
своими,by your own
трубку,tube
убт,UBT
кіно,cinema
директор,director
розкажи,Tell us
система,system
городе,City
пїп,Pip
кінці,ends
френк,Frank
перше,First
словно,word
урок,lesson
мусить,must
батьків,parents
золото,gold
мертва,dead
твоєю,yours
стривай,Hold on
подарок,gift
допоможу,I will help
хутко,quick
посмотрите,Small
чоловіків,men
шукаю,I am looking for
острів,island
тіла,body
старого,Old
душі,souls
ємо,EMO
работал,robotal
возьму,I take
нову,New
вместо,Veor
вип,Iss
гарні,good
дупу,ass
представить,will present
известно,Issue
безпеки,safety
році,year
зустрітися,to meet
милий,nice
головне,The main thing
вийшов,came out
доступ,access
цими,These
вісім,eight
написав,wrote
пожаловать,Power
шесть,Six
начал,The principal
чувства,sensations
полностью,fullness
чекаю,I am waiting
код,code
картер,casing
потерял,shaved
идите,Go
перевірити,verify
принять,They will come
